dj_insertion,j_gene,count
11,IGHJ2P*01_P,1
18,IGHJ4*03_F,1
25,IGHJ5*02_F,12
0,IGHJ3P*02_P,8
6,IGHJ1P*01_P,3
10,IGHJ1*01_F,4
19,IGHJ1*01_F,1
14,IGHJ2*01_F,5
14,IGHJ1*01_F,3
13,IGHJ3*02_F,24
31,IGHJ5*02_F,2
18,IGHJ3*02_F,12
20,IGHJ3*01_F,4
43,IGHJ6*03_F,1
15,IGHJ3*01_F,2
0,IGHJ3*01_F,31
13,IGHJ6*04_F,1
19,IGHJ3*01_F,1
26,IGHJ2*01_F,1
12,IGHJ2*01_F,4
24,IGHJ4*02_F,19
0,IGHJ2*01_F,68
25,IGHJ2*01_F,1
3,IGHJ6*03_F,91
12,IGHJ6*04_F,2
8,IGHJ6*03_F,93
0,IGHJ3*02_F,103
11,IGHJ3*01_F,6
7,IGHJ6*04_F,11
8,IGHJ1*01_F,18
1,IGHJ6*01_F,2
3,IGHJ1*01_F,14
26,IGHJ6*02_F,1
30,IGHJ4*02_F,11
21,IGHJ6*02_F,6
34,IGHJ4*02_F,6
5,IGHJ1*01_F,23
4,IGHJ3*01_F,6
1,IGHJ2P*01_P,5
9,IGHJ6*03_F,65
6,IGHJ3*02_F,29
13,IGHJ2*01_F,9
10,IGHJ3*02_F,16
1,IGHJ2*01_F,15
8,IGHJ5*02_F,33
6,IGHJ5*02_F,62
5,IGHJ5*02_F,60
10,IGHJ2*01_F,10
30,IGHJ5*02_F,4
0,IGHJ6*04_F,58
33,IGHJ4*02_F,3
16,IGHJ2P*01_P,4
3,IGHJ4*02_F,299
4,IGHJ6*03_F,115
19,IGHJ6*03_F,6
23,IGHJ4*02_F,19
43,IGHJ3*02_F,2
24,IGHJ6*03_F,4
20,IGHJ6*02_F,6
29,IGHJ1*01_F,3
5,IGHJ4*01_F,1
7,IGHJ4*01_F,1
5,IGHJ6*02_F,68
24,IGHJ6*02_F,1
8,IGHJ3*01_F,3
6,IGHJ6*03_F,97
5,IGHJ6*03_F,77
13,IGHJ4*02_F,80
22,IGHJ4*02_F,10
10,IGHJ6*03_F,59
11,IGHJ2*01_F,17
9,IGHJ6*04_F,5
0,IGHJ5*01_F,15
19,IGHJ5*02_F,8
1,IGHJ5*02_F,122
7,IGHJ3*01_F,5
7,IGHJ5*02_F,60
8,IGHJ2*01_F,7
1,IGHJ4*01_F,2
42,IGHJ3*02_F,1
17,IGHJ3*01_F,2
19,IGHJ3*02_F,7
0,IGHJ6*03_F,321
15,IGHJ6*03_F,15
24,IGHJ3*02_F,1
12,IGHJ4*02_F,81
20,IGHJ6*03_F,6
14,IGHJ4*01_F,1
17,IGHJ6*03_F,11
4,IGHJ6*02_F,135
3,IGHJ6*04_F,4
2,IGHJ6*02_F,105
13,IGHJ1*01_F,12
1,IGHJ1P*01_P,4
0,IGHJ6*01_F,15
1,IGHJ1*01_F,7
28,IGHJ6*02_F,1
23,IGHJ6*02_F,6
9,IGHJ3*02_F,38
1,IGHJ6*03_F,83
2,IGHJ4*02_F,417
22,IGHJ6*03_F,6
21,IGHJ6*03_F,7
15,IGHJ6*04_F,2
27,IGHJ6*03_F,4
3,IGHJ4*01_F,2
34,IGHJ3*02_F,2
20,IGHJ5*02_F,16
25,IGHJ3*02_F,1
2,IGHJ5*02_F,68
20,IGHJ3*02_F,10
17,IGHJ6*04_F,6
13,IGHJ2P*01_P,1
38,IGHJ5*02_F,2
15,IGHJ3*02_F,9
28,IGHJ5*02_F,2
4,IGHJ2P*01_P,1
14,IGHJ3*01_F,3
9,IGHJ1P*01_P,2
13,IGHJ3*01_F,8
3,IGHJ5*01_F,1
11,IGHJ1*01_F,4
31,IGHJ3*02_F,1
6,IGHJ1*01_F,9
5,IGHJ3P*01_P,1
5,IGHJ3*02_F,26
7,IGHJ6*02_F,83
6,IGHJ6*04_F,4
2,IGHJ6*03_F,129
10,IGHJ2P*01_P,2
9,IGHJ3*01_F,10
5,IGHJ2P*01_P,5
6,IGHJ2P*01_P,4
16,IGHJ5*02_F,22
11,IGHJ4*03_F,2
22,IGHJ3*02_F,5
13,IGHJ5*02_F,28
23,IGHJ3*01_F,3
15,IGHJ2*01_F,7
16,IGHJ4*02_F,51
16,IGHJ6*01_F,2
39,IGHJ5*02_F,1
8,IGHJ4*03_F,2
36,IGHJ4*02_F,4
15,IGHJ2P*01_P,1
0,IGHJ2P*01_P,32
19,IGHJ4*02_F,23
10,IGHJ6*02_F,84
19,IGHJ2P*01_P,1
12,IGHJ3*02_F,27
14,IGHJ6*02_F,25
25,IGHJ1*01_F,1
12,IGHJ4*03_F,1
0,IGHJ1P*01_P,15
0,IGHJ3P*01_P,23
12,IGHJ6*01_F,1
15,IGHJ1*01_F,3
19,IGHJ6*02_F,4
26,IGHJ4*02_F,12
35,IGHJ4*02_F,2
13,IGHJ4*01_F,1
12,IGHJ3*01_F,3
9,IGHJ2P*01_P,1
9,IGHJ4*02_F,142
8,IGHJ5*01_F,3
2,IGHJ3*02_F,46
34,IGHJ5*02_F,1
4,IGHJ5*01_F,2
18,IGHJ2*01_F,3
3,IGHJ5*02_F,62
4,IGHJ4*03_F,1
8,IGHJ6*04_F,3
25,IGHJ4*02_F,23
29,IGHJ4*02_F,4
15,IGHJ4*02_F,54
8,IGHJ4*02_F,147
4,IGHJ1*01_F,9
14,IGHJ6*04_F,2
7,IGHJ2P*01_P,1
30,IGHJ1*01_F,1
9,IGHJ1*01_F,18
35,IGHJ6*03_F,1
2,IGHJ3P*01_P,1
18,IGHJ6*02_F,14
8,IGHJ3P*01_P,1
36,IGHJ3*01_F,1
13,IGHJ6*02_F,30
3,IGHJ6*02_F,82
2,IGHJ6*04_F,5
1,IGHJ6*02_F,51
5,IGHJ4*02_F,214
14,IGHJ4*02_F,101
27,IGHJ6*02_F,3
31,IGHJ2*01_F,1
2,IGHJ5*01_F,1
33,IGHJ5*02_F,2
2,IGHJ6*01_F,1
14,IGHJ5*02_F,47
19,IGHJ6*01_F,1
4,IGHJ5*02_F,61
18,IGHJ3*01_F,1
11,IGHJ3*02_F,20
24,IGHJ5*02_F,2
16,IGHJ3*02_F,8
4,IGHJ4*02_F,254
7,IGHJ6*01_F,1
2,IGHJ3*01_F,8
7,IGHJ5*01_F,1
12,IGHJ6*02_F,27
11,IGHJ6*04_F,1
3,IGHJ1P*01_P,1
0,IGHJ6*02_F,398
27,IGHJ3*02_F,1
14,IGHJ1P*01_P,1
43,IGHJ5*02_F,1
3,IGHJ3*01_F,5
1,IGHJ3*02_F,30
16,IGHJ2*01_F,4
21,IGHJ3*02_F,10
14,IGHJ6*03_F,23
17,IGHJ2*01_F,3
27,IGHJ5*01_F,1
3,IGHJ4*03_F,2
21,IGHJ2*01_F,1
18,IGHJ1*01_F,3
7,IGHJ2*01_F,10
8,IGHJ4*01_F,1
17,IGHJ3*02_F,5
9,IGHJ5*02_F,23
0,IGHJ5*02_F,404
15,IGHJ5*02_F,17
7,IGHJ3*02_F,36
9,IGHJ5*01_F,2
35,IGHJ5*02_F,1
4,IGHJ2*01_F,10
17,IGHJ5*02_F,15
31,IGHJ6*02_F,2
42,IGHJ1*01_F,4
45,IGHJ4*02_F,1
11,IGHJ6*03_F,46
1,IGHJ3*01_F,8
25,IGHJ6*03_F,3
16,IGHJ6*03_F,23
25,IGHJ6*02_F,1
8,IGHJ3*02_F,33
28,IGHJ1*01_F,1
6,IGHJ2*01_F,13
28,IGHJ4*03_F,2
2,IGHJ1*01_F,23
9,IGHJ6*02_F,81
38,IGHJ4*02_F,4
35,IGHJ6*02_F,2
26,IGHJ5*02_F,2
14,IGHJ2P*01_P,1
32,IGHJ4*02_F,1
19,IGHJ2*01_F,2
14,IGHJ3*02_F,10
5,IGHJ2*01_F,13
2,IGHJ4*01_F,1
8,IGHJ2P*01_P,3
11,IGHJ5*02_F,52
10,IGHJ5*02_F,45
28,IGHJ4*02_F,11
2,IGHJ4*03_F,4
18,IGHJ5*02_F,12
10,IGHJ3*01_F,8
31,IGHJ4*02_F,4
7,IGHJ6*03_F,85
11,IGHJ4*02_F,83
6,IGHJ3*01_F,11
12,IGHJ6*03_F,44
8,IGHJ6*02_F,80
4,IGHJ3*02_F,32
22,IGHJ6*02_F,7
17,IGHJ1*01_F,5
4,IGHJ6*04_F,4
12,IGHJ1*01_F,5
6,IGHJ6*01_F,1
7,IGHJ1*01_F,4
0,IGHJ1*01_F,79
18,IGHJ4*02_F,44
27,IGHJ4*02_F,14
1,IGHJ4*02_F,258
17,IGHJ6*02_F,11
13,IGHJ6*03_F,33
21,IGHJ4*02_F,23
10,IGHJ5*01_F,1
18,IGHJ6*03_F,15
3,IGHJ2*01_F,20
1,IGHJ6*04_F,5
22,IGHJ2*01_F,1
22,IGHJ5*02_F,5
21,IGHJ5*02_F,3
12,IGHJ5*02_F,37
17,IGHJ4*02_F,34
32,IGHJ5*02_F,5
10,IGHJ4*01_F,1
0,IGHJ4*03_F,17
29,IGHJ5*02_F,2
27,IGHJ2P*01_P,1
7,IGHJ4*02_F,180
0,IGHJ4*02_F,1056
7,IGHJ1P*01_P,1
23,IGHJ6*03_F,5
20,IGHJ4*02_F,32
3,IGHJ2P*01_P,9
6,IGHJ6*02_F,108
9,IGHJ2*01_F,12
21,IGHJ1*01_F,2
16,IGHJ6*02_F,18
6,IGHJ3P*01_P,1
11,IGHJ6*02_F,83
10,IGHJ6*04_F,1
15,IGHJ6*02_F,55
6,IGHJ4*02_F,181
10,IGHJ4*02_F,140
2,IGHJ2P*01_P,2
0,IGHJ4*01_F,7
34,IGHJ6*03_F,1
19,IGHJ4*03_F,1
28,IGHJ6*03_F,2
23,IGHJ5*02_F,4
3,IGHJ3*02_F,49
5,IGHJ1P*01_P,2
5,IGHJ3*01_F,9
2,IGHJ2*01_F,11
28,IGHJ3*02_F,2
