unique_id,reco_id
-3130708388701300084,0
8659822589160176673,1
3342651214084702024,1
4770398013392084470,5
-658078957913864792,0
562206148682631912,1
2387347694963411672,5
-6381135896718724095,1
-3474147240176822363,5
-3988378635212457670,0
3211167014208589976,5
460496702627901797,5
-6084281092104908607,1
1533637568210783802,11
8098125751271273458,1
-2663880716506744888,11
-5947102114582201831,5
-6899001202539983799,5
6701977404000280641,0
-873221036309224253,11
-6156303979434295083,11
2207922032865882575,0
-8667086051145763462,11
-7952692742360355799,11
-2281669489761263655,11
-7231125957256959386,11
5021864125432492011,0
-1269931802774652026,0
4979397670495805091,5
1173760363995119909,1
4285431399989245073,0
699231180272282110,11
-6785318672435007247,5
-9020299283665944738,5
-7798257147912034918,0
-934303857119801307,11
-3299239993491156909,0
