path_index,initial_path_index,partition,logprob,logweight
0,0,-264892738845860700;-4303554669605506023;-4889089688347175145;-873544620832980959;-8770184440289780227;2621675304399470694;2821127275628210980;5282141294685127711;5815064660513871794,-2501.10150146484375,0
0,0,-264892738845860700:-4303554669605506023;-4889089688347175145;-873544620832980959;-8770184440289780227;2621675304399470694;2821127275628210980;5282141294685127711;5815064660513871794,-2464.623687744140625,0
0,0,-264892738845860700:-4303554669605506023;-4889089688347175145;-873544620832980959:5282141294685127711;-8770184440289780227;2621675304399470694;2821127275628210980;5815064660513871794,-2428.992584228515625,-0.69314718055994528623
0,0,-264892738845860700:-4303554669605506023:-4889089688347175145;-873544620832980959:5282141294685127711;-8770184440289780227;2621675304399470694;2821127275628210980;5815064660513871794,-2398.23345947265625,-2.0794415416798357477
0,0,-264892738845860700:-4303554669605506023:-4889089688347175145:-873544620832980959:5282141294685127711;-8770184440289780227;2621675304399470694;2821127275628210980;5815064660513871794,-2359.9755859375,-4.7874917427820458116
0,0,-264892738845860700:-4303554669605506023:-4889089688347175145:-873544620832980959:5282141294685127711:5815064660513871794;-8770184440289780227;2621675304399470694;2821127275628210980,-2323.21649169921875,-8.2214789472671920834
0,0,-264892738845860700:-4303554669605506023:-4889089688347175145:-873544620832980959:5282141294685127711:5815064660513871794:-8770184440289780227;2621675304399470694;2821127275628210980,-2288.5155029296875,-12.364613673658723769
0,0,-264892738845860700:-4303554669605506023:-4889089688347175145:-873544620832980959:5282141294685127711:5815064660513871794:-8770184440289780227:2821127275628210980;2621675304399470694,-2256.08648681640625,-17.208800760117313189
0,0,-264892738845860700:-4303554669605506023:-4889089688347175145:-873544620832980959:5282141294685127711:5815064660513871794:-8770184440289780227:2821127275628210980:2621675304399470694,-2224.88037109375,-22.750064305275738974
